magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.00666672
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.027260542
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.018707454
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.019323647
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.03305787
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.018726587
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0059524775
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.009708762
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0046269298
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.015096545
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.095410585
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.104444385
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.1533817
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.015610695
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12765956
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.19982994
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12842107
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.102999985
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12609047
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0342263
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.004427612
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12101066
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.037222266
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.10100007
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.20744681
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.021666706
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.107712746
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.039966047
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.021739244
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.28558314
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.07116103
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.12925166
low,dino_p16,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.07905686
