augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09649998
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09029651
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12186372
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.122787
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07550007
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.14011675
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.123636305
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.060956836
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.20283008
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13757163
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07952076
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09079367
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1701417
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.20971632
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.093679965
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.14538825
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16634917
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.17924535
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.23795831
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11479151
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09978944
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04949999
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15200007
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.2103365
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10317874
